N_Name,Class,Direction,Time
N_17139,car,route_9,966.4458892
N_16855,car,route_10,968.1306847
N_17323,car,route_10,970.9902225999999
N_17322,car,route_10,971.0694579
N_17345,car,route_9,971.7612894
N_17349,car,route_10,971.9963918999999
N_17371,car,route_10,972.2305064
N_17403,car,route_10,972.8497055
N_17412,car,route_10,973.0793856
N_17366,car,route_9,975.1630663
N_17200,car,route_9,976.2515846
N_17427,car,route_9,976.5604782
N_17344,car,route_10,976.9518428
N_17622,car,route_9,978.1064921
N_17591,car,route_9,980.3458976
N_17703,car,route_10,980.8837479
N_17401,car,route_9,981.195829
N_17715,car,route_9,982.5151532
N_17803,car,route_9,983.9899336999999
N_17791,car,route_9,986.4532406999999
N_17880,car,route_9,987.376898
N_17859,truck,route_10,987.7637358
N_17909,car,route_9,991.2372762
